28,"R V S HIGH SCHOOL,LAKSHMIDEVINAGAR,,NANDINI LAYOUT,,BENGALURU.",13.0178928,77.5276165
29,"SRI CHANNAKESHAVASWAMY HIGH SCHOOL,SONDEKOPPA,BENGALURU NORTH,",13.003984,77.7047002
30,"PEENYA EDUCATION SOCIETY HIGH SCHOOL,SRS ROAD PEENYA,BENGALURU",13.0329251,77.5282555
31,"SRI GANGADHARESHWAR HIGH SCHOOL,KAMALANAGAR,BENGALURU NORTH,",12.9970963,77.5280459
32,"SRIRAMA HIGH SCHOOL,V H GARDENS,,CHIKKABIDARAKALLU,NAGASANDRA POST ,BENGALURU",13.0459665,77.491192
33,"ANNI BESANT HIGH SCHOOL,90,91 12TH MAIN ROAD,SRINIVASANAGARA,SREE GANDHADDKAVALU PIPELINE",12.9705073,77.6436748
34,"GOVERNMENT HIGH SCHOOL,KADABAGERE,BENGALURU NORTH,",12.9920927,77.4439566
35,"JNANODAYA ENG HIGH SCHOOL,SHAMBHAVI NAGARA,,PEENYA 2ND STG,,LAGGERE,",13.0097647,77.5253962
36,"DEEPAK HIGH SCHOOL,NO.64, KALIKANAGARA,THIGALARAPALYA MAIN RD,PEENYA 2ND STAGE ,BENGALURU",13.0122083,77.4904682
37,"SRI VANI HIGH SCHOOL,2ND STAGE RAJAJINAGAR,BENGALURU NORTH,",13.0038418,77.5550793
38,"KUMARA PARK HIGH SCHOOL,4TH CROSS NAGAPPA STREET,BENGALURU NORTH,",12.9889467,77.5766137
39,"C.M.NATIONAL COMPOSITE PRE-UNIVERSITY COLLEGE,,BANDAPPA GARDEN GOKUL,BENGALURU,",13.0394898,77.5492444
40,"NAGASENA VIDYALAYA(ENG MED) HIGH SCHOOL,292 15TH MAIN 9TH CROSS RAJMAHAL VILAS,BENGALURU,",13.0139542,77.5761239
41,"NEW CARMEL ENGLISH SCHOOL,MATHIKERE, DIVANARAPALYA,BENGALURU NORTH,",13.0246021,77.5606119
42,"GOVT. GIRLS HIGH SCHOOL,LINK ROAD SESHADRIPURAM,BENGALURU NORTH,",12.9920048,77.5743553
43,"SRI VIDYAMANDIRA HIGH SCHOOL,MALLESWARAM,BENGALURU NORTH,",13.0019988,77.5702422
44,"DAFFODIALS ENGLISH MEDIUM HIGH SCHOOL,SANJAYANAGAR,BENGALURU DISTRICT,",13.03496,77.5789603
45,"MOTHER THERESHA ENG MEDIUM HIGH SCHOOL,M E S ROAD JALAHALLY,,BENGALURU,",13.0433943,77.5510306
46,"GOVERNMENT HIGH SCHOOL,PRAKASHNAGAR,BENGALURU,",12.9923811,77.557736
47,"VIJAYA BHARATHI PUBLIC SCHOOL,KHB ROAD, MANORAYANAPALYA, RT NAGAR POST,BENGALURU NORTH,",13.0318543,77.6081315
48,"VIVEKAVARDHINI HIGH SCHOOL,PRAKASHNAGAR,BENGALURU NORTH,",12.995938,77.5557285
49,"GOVERNMENT HIGH SCHOOL,YESHWANTHAPUR,BENGALURU NORTH,",13.0272833,77.5404099
50,"GANDHI VIDYASHALA HIGH SCHOOL,SREERAMAPURAM,BENGALURU NORTH,",12.9886073,77.5656679
51,"RAJA RAJESHWARI ENGLISH MED HIGH SCHOOL,GOKULA 1ST STG, 6TH CR, YESHAVANTHAPURA,BENGALURU NORTH,",13.0265949,77.5575987
52,"R T NAGAR EDN TRUST HIGH SCHOOL,IST MAIN ROAD,,KANAKANAGAR,,BENGALURU.",13.0332491,77.6078825
53,"GOVT HIGH SCHOOL,7TH MAIN ROAD,,SRIRAMAPURA,,BENGALURU.",12.9923811,77.557736
54,"R.T. NAGAR HIGH SCHOOL,10/13 K H M BLOCK GANGANAGAR,BENGALURU NORTH,",13.0256428,77.5901613
55,"FLORENCE PUBLIC HIGH SCHOOL,NO 6 P&T COLONY R.T.NAGAR,BENGALURU,",13.0219976,77.5928173
56,"VIDYAVAHINI HIGH SCHOOL,ANANDANAGAR,BENGALURU,",13.0296123,77.5891158
57,"ST.MARY'S GIRLS HIGH SCHOOL,NO.3 MILLER ROAD,BENGALURU NORTH,",12.9886027,77.5909424
58,"MARUTHI VIDYALAYA HIGH SCHOOL,SUBBAIAHNA PALYA,BENGALURU,",13.008699,77.6443616
59,"NOBLE SAINT ENGLISH SCHOOL,KHUSHAL NAGAR, K G HALLI,,BENGALURU NORTH,",13.0202822,77.6162745
